Date : 2022-04-11 17:26:48
Directory : /home/tautvydas/MyProjects/Bakis
Total : 98 files,  74707 codes, 450 comments, 356 blanks, all 75513 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          9 |     69,252 |          0 |          8 |     69,260 |
| Vue                |         27 |      3,412 |        262 |         83 |      3,757 |
| JavaScript         |         55 |      1,967 |        187 |        250 |      2,404 |
| Markdown           |          1 |         27 |          0 |          8 |         35 |
| HTML               |          1 |         18 |          1 |          1 |         20 |
| JavaScript React   |          1 |         13 |          0 |          1 |         14 |
| CSS                |          1 |         11 |          0 |          2 |         13 |
| SVG                |          2 |          4 |          0 |          2 |          6 |
| JSON with Comments |          1 |          3 |          0 |          1 |          4 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                            | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                               |         98 |     74,707 |        450 |        356 |     75,513 |
| client                                                                          |         57 |     42,702 |        330 |        181 |     43,213 |
| client/public                                                                   |          2 |         21 |          1 |          2 |         24 |
| client/public/img                                                               |          1 |          3 |          0 |          1 |          4 |
| client/public/img/icons                                                         |          1 |          3 |          0 |          1 |          4 |
| client/src                                                                      |         40 |      3,836 |        274 |        150 |      4,260 |
| client/src/assets                                                               |          1 |          1 |          0 |          1 |          2 |
| client/src/components                                                           |         15 |      2,305 |        197 |         36 |      2,538 |
| client/src/components/Calendar                                                  |          2 |        355 |          0 |          3 |        358 |
| client/src/components/Create                                                    |          2 |        456 |         62 |          7 |        525 |
| client/src/plugins                                                              |          1 |          5 |          0 |          3 |          8 |
| client/src/router                                                               |          1 |         56 |          0 |          5 |         61 |
| client/src/services                                                             |          6 |        213 |         11 |         43 |        267 |
| client/src/store                                                                |          2 |        104 |          0 |          9 |        113 |
| client/src/store/modules                                                        |          1 |         76 |          0 |          5 |         81 |
| client/src/views                                                                |         11 |      1,033 |         64 |         43 |      1,140 |
| client/tests                                                                    |          6 |         40 |         55 |         14 |        109 |
| client/tests/e2e                                                                |          5 |         29 |         55 |         12 |         96 |
| client/tests/e2e/plugins                                                        |          1 |         10 |         12 |          5 |         27 |
| client/tests/e2e/specs                                                          |          1 |          6 |          1 |          2 |          9 |
| client/tests/e2e/support                                                        |          2 |          1 |         42 |          4 |         47 |
| client/tests/unit                                                               |          1 |         11 |          0 |          2 |         13 |
